,Type,Primary wire,width primary,height primary,Secondary wire,width secondary,height secondary,Stack mm,Tongue mm,wl mm,ww mm,Primary Built,Secondary Built,Total Built,Core Loss,Copper Loss,Temperature rise Cu,Temperature rise Fe,Total Cu Cost,Total Fe Cost,Core weight,Conductor weight,Cost,Primary turns,Secondary turns,MTL Primary,MTL Secondary,TPL Primary,TPL Secondary,Length primary,Length secondary,Resistance primary,Resistance secondary,Cu surface area,Core surface area,Weight of Cu kg,Weight of Fe,Primary current,Primary voltage,Primary power,Secondary current,Secondary voltage,Secondary power,Frequency,B max,bobbin,efficiency,Primary Layers,Secondary Layers,Weight Cu Primary,weight Cu Secondary
319,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,105.0,130.0,270.0,25.0,6.8,7.0,18.8,131.6767725,116.12854442344045,49.63622520447046,28.60852891736933,9938.359260000001,21946.12875,87.784515,10.4614308,31884.48801,61,62,52,55,79,79,3172,3410,0.029605333333333334,0.03182666666666666,1675.08,3701.0,10.4614308,87.784515,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.58186939291079,1,1,5.0415768,5.419854
1441,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,125.0,125.0,230.0,30.0,6.8,7.0,18.8,136.54265625,106.68935097668556,50.81199044700848,30.247260811925944,9130.54671,22757.109375,91.0284375,9.6111018,31887.656085000002,53,54,55,58,67,67,2915,3132,0.027206666666666664,0.029231999999999994,1495.92,3587.5,9.6111018,91.0284375,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.62543690258033,1,1,4.633101,4.9780008
1423,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,125.0,125.0,235.0,25.0,6.8,7.0,18.8,136.54265625,106.68935097668556,49.917329829693706,30.334591747974684,9130.54671,22757.109375,91.0284375,9.6111018,31887.656085000002,53,54,55,58,68,68,2915,3132,0.027206666666666664,0.029231999999999994,1528.44,3575.0,9.6111018,91.0284375,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.62543690258033,1,1,4.633101,4.9780008
3032,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,150.0,120.0,200.0,25.0,6.8,7.0,18.8,140.95458,98.20289855072463,50.69430437714515,31.797246092243522,8404.27038,23492.43,93.96972,8.8466004,31896.700380000002,46,46,59,62,58,58,2714,2852,0.025330666666666665,0.026618666666666665,1380.8,3486.0,8.8466004,93.96972,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.66428557181861,1,1,4.3136316,4.5329688
3048,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,150.0,120.0,195.0,30.0,6.8,7.0,18.8,140.95458,98.20289855072463,51.76561231949825,31.68467397637405,8404.27038,23492.43,93.96972,8.8466004,31896.700380000002,46,46,59,62,56,56,2714,2852,0.025330666666666665,0.026618666666666665,1346.28,3501.0,8.8466004,93.96972,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.66428557181861,1,1,4.3136316,4.5329688
4728,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,185.0,120.0,135.0,35.0,6.8,7.0,18.8,146.129724,88.12854442344045,59.22190167023006,32.785702846616736,7542.100350000001,24354.954,97.41981600000001,7.939053,31897.054350000002,37,37,66,69,38,38,2442,2553,0.022792,0.023827999999999995,1026.54,3482.5,7.939053,97.41981600000001,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.7110381399479,1,1,3.8813147999999997,4.0577382
4723,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,185.0,120.0,140.0,30.0,6.8,7.0,18.8,146.129724,88.12854442344045,57.46934987501374,32.93026578781547,7542.100350000001,24354.954,97.41981600000001,7.939053,31897.054350000002,37,37,66,69,40,40,2442,2553,0.022792,0.023827999999999995,1064.56,3464.0,7.939053,97.41981600000001,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.7110381399479,1,1,3.8813147999999997,4.0577382
4711,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,185.0,120.0,145.0,25.0,6.8,7.0,18.8,146.129724,88.12854442344045,55.82748606216479,33.07624541927378,7542.100350000001,24354.954,97.41981600000001,7.939053,31897.054350000002,37,37,66,69,41,41,2442,2553,0.022792,0.023827999999999995,1102.58,3445.5,7.939053,97.41981600000001,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.7110381399479,1,1,3.8813147999999997,4.0577382
3177,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,150.0,140.0,120.0,40.0,13.6,13.799999999999999,32.4,142.9974,94.26843100189035,63.60957125090252,31.77143742479276,8067.55599,23832.899999999998,95.3316,8.4921642,31900.45599,39,39,66,71,33,33,2574,2769,0.024023999999999997,0.025844,1007.04,3540.0,8.4921642,95.3316,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.68233203163125,2,2,4.0911156,4.4010486
4134,S/U,3x3x2,3.3,6.6,3x3x2,3.3,6.6,170.0,120.0,165.0,25.0,6.8,7.0,18.8,143.542152,93.3156899810964,54.38162028215585,32.61125866320969,7986.01977,23923.692,95.694768,8.4063366,31909.711769999998,41,41,63,66,47,47,2583,2706,0.024107999999999997,0.025255999999999997,1205.16,3443.0,8.4063366,95.694768,43.47826086956522,230.0,10000.0,43.47826086956522,230.0,10000.0,50.0,1.25,4,97.68622515192358,1,1,4.1054202,4.3009164
